Type,Price,Coupon,Maturity,YTM,CurrentYield,Rating
'Muni',121.15,5.07,'16-Jun-2024',3.933,4.184894759,'AA'
'Muni',121.06,5.27,'30-Mar-2020',3.505,4.353213283,'A'
'Muni',111.14,4.1,'26-Apr-2019',3.234,3.689040849,'AA'
'Muni',113.49,3.96,'17-Sep-2018',2.937,3.489294211,'AA'
'Muni',136.09,5.92,'20-Mar-2020',3.464,4.350062459,'AA'
'Muni',112.73,4.97,'13-Oct-2013',2.861,4.408764304,'AA'
'Muni',115.44,4.99,'12-Sep-2026',3.428,4.322591823,'AAA'
'Muni',109.75,3.73,'18-Aug-2014',2.79,3.398633257,'AA'
'Muni',108.48,4.98,'09-Jan-2023',3.832,4.590707965,'A'
'Muni',106.75,4.92,'17-Nov-2036',4.154,4.608899297,'AA'
'Muni',102.21,3.98,'08-Feb-2027',3.2,3.893943841,'A'
'Muni',125.17,5.59,'22-Nov-2017',4.128,4.46592634,'AA'
'Muni',117.72,4.98,'01-Jun-2015',4.102,4.230377166,'AAA'
'Muni',119.41,5.1,'29-Nov-2015',4.087,4.270999079,'AAA'
'Muni',106.55,3.07,'16-Jul-2013',1.345,2.881276396,'AA'
'Muni',109.06,5.35,'01-Feb-2027',3.802,4.905556574,'AA'
'Muni',95.71,4.91,'30-Aug-2039',3.834,5.130080451,'BBB'
'Muni',112.94,3.91,'10-Jun-2014',3.332,3.462015229,'AA'
'Muni',108.93,4.52,'22-Dec-2023',3.784,4.149453778,'AAA'
'Muni',108.95,4.34,'01-Aug-2020',3.28,3.98347866,'AA'
'Muni',111.35,5.07,'23-Jun-2014',3.991,4.553210597,'AA'
'Muni',112.45,5.03,'19-Sep-2017',3.53,4.473099155,'A'
'Muni',110.38,4.94,'29-Jun-2022',3.904,4.475448451,'A'
'Muni',106.48,4.93,'15-Aug-2030',3.598,4.629977461,'A'
'Muni',117.12,5.08,'07-Dec-2017',4.325,4.337431694,'AA'
'Muni',120.84,6.65,'20-Feb-2022',4.018,5.503144654,'A'
'Muni',113.64,3.42,'26-Sep-2015',2.618,3.009503696,'AA'
'Muni',110.94,6.41,'07-Jul-2029',4.563,5.777897963,'BBB'
'Muni',116.94,5.49,'08-Jan-2016',3.907,4.694715239,'A'
'Muni',115.17,4.96,'30-Oct-2014',3.653,4.306677086,'AA'
'Muni',36.63,0.03,'25-Aug-2031',0.113,0.081900082,'AA'
'Muni',105.21,5.25,'12-Jul-2031',4.035,4.99001996,'A'
