Type,Price,Coupon,Maturity,YTM,CurrentYield,Rating
'Corp',123.81,5.65,'11-May-2040',4.024,4.563443987,'A'
'Corp',122.63,6.2,'19-Feb-2016',3.803,5.055859088,'AAA'
'Corp',101.76,1.64,'09-Jan-2017',1.554,1.61163522,'AAA'
'Corp',40.51,10.27,'30-Oct-2015',10.193,25.351765,'CCC'
'Corp',113.23,5.83,'24-Dec-2016',4.479,5.148812152,'BBB'
'Corp',135.65,6.42,'08-Aug-2037',3.675,4.732768153,'A'
'Corp',105.43,6.78,'15-Dec-2020',5.773,6.430807171,'BB'
'Corp',113.44,6.54,'29-Sep-2036',4.242,5.7651622,'BBB'
'Corp',104.79,3.36,'08-Oct-2021',2.802,3.206412826,'AA'
'Corp',100.51,7.2,'09-Jun-2023',6.875,7.163466322,'BB'
'Corp',91.01,4.71,'26-Jan-2020',3.986,5.175255466,'A'
'Corp',103.47,1.51,'05-Sep-2014',1.354,1.459360201,'A'
'Corp',114.04,6.08,'26-Feb-2017',3.931,5.331462645,'AA'
'Corp',107.01,5.52,'26-Feb-2018',3.848,5.158396412,'A'
'Corp',111.79,8.33,'23-Aug-2030',4.787,7.451471509,'BBB'
'Corp',109.36,5.05,'27-Jan-2020',3.677,4.617776152,'BBB'
'Corp',109.76,5.7,'12-Oct-2015',4.061,5.193148688,'A'
'Corp',110.57,5.84,'15-Feb-2018',3.926,5.281721986,'A'
'Corp',123.95,5.69,'05-Jul-2018',3.886,4.59056071,'AAA'
'Corp',103.51,5.53,'04-Apr-2020',4.076,5.342478988,'A'
'Corp',45.15,7.23,'11-Nov-2027',9.56,16.01328904,'CCC'
'Corp',101.77,6.37,'02-Jan-2021',4.948,6.259211949,'BB'
'Corp',147.11,8.85,'23-Dec-2019',5.097,6.015906465,'AA'
'Corp',107.14,2.96,'27-Feb-2016',2.427,2.76274034,'A'
'Corp',121.8,6.11,'16-Sep-2039',3.808,5.016420361,'BBB'
'Corp',93.37,4.72,'23-May-2018',4.63,5.055156903,'A'
'Corp',103.78,3.37,'17-May-2018',3.047,3.247253806,'AAA'
'Corp',114.82,4,'11-Feb-2021',2.937,3.483713639,'AA'
